,0
AT1 0,AT
AT1 1,AT
BE1 0,BE
BE1 1,BE
BE1 2,BE
CH1 0,CH
CZ1 0,CZ
CZ1 1,CZ
DE1 0,DE
DE1 1,DE
DE1 10,DE
DE1 11,DE
DE1 12,DE
DE1 13,DE
DE1 14,DE
DE1 15,DE
DE1 16,DE
DE1 17,DE
DE1 18,DE
DE1 19,DE
DE1 2,DE
DE1 3,DE
DE1 4,DE
DE1 5,DE
DE1 6,DE
DE1 7,DE
DE1 8,DE
DE1 9,DE
DK1 0,DK-DK1
DK2 0,DK
FI2 0,FI
FI2 1,FI
FI2 2,FI
FR1 0,FR
FR1 1,FR
FR1 10,FR
FR1 11,FR
FR1 12,FR
FR1 13,FR
FR1 14,FR
FR1 15,FR
FR1 16,FR
FR1 17,FR
FR1 18,FR
FR1 2,FR
FR1 3,FR
FR1 4,FR
FR1 5,FR
FR1 6,FR
FR1 7,FR
FR1 8,FR
FR1 9,FR
LU1 0,LU
NL1 0,NL
NL1 1,NL
NL1 2,NL
NL1 3,NL
NO2 0,NO-NO4
NO2 1,NO-NO2
NO2 2,NO-NO1
NO2 3,NO-NO3
NO2 4,NO-NO5
PL1 0,PL
PL1 1,PL
PL1 2,PL
PL1 3,PL
PL1 4,PL
SE2 0,SE-SE4
SE2 1,SE-SE2
SE2 2,SE-SE1
SE2 3,SE-SE1
SE2 4,SE-SE3
GB0 10,GB
